role,player_id,player_name,flag,matches,minutes
WINGER,140874,Reda Slim,insufficient_match_history,1,24.183332
WINGER,140874,Reda Slim,low_minutes_reliability,1,24.183332
WINGER,143490,Ahmed Hammoudan,insufficient_match_history,1,87.566666
WINGER,143490,Ahmed Hammoudan,low_minutes_reliability,1,87.566666
WINGER,16208,Kevin Yamga,insufficient_match_history,1,112.46667
WINGER,16208,Kevin Yamga,low_minutes_reliability,1,112.46667
WINGER,179311,Imad Riahi,insufficient_match_history,1,13.766666
WINGER,179311,Imad Riahi,low_minutes_reliability,1,13.766666
WINGER,199611,Youssef Mehri,insufficient_match_history,2,157.61667
WINGER,199611,Youssef Mehri,high_volatility,2,157.61667
WINGER,199611,Youssef Mehri,low_minutes_reliability,2,157.61667
WINGER,275341,Yazid Faffa,insufficient_match_history,1,76.63333
WINGER,275341,Yazid Faffa,low_minutes_reliability,1,76.63333
WINGER,312935,Amine Azri,insufficient_match_history,2,63.333332
WINGER,312935,Amine Azri,low_minutes_reliability,2,63.333332
WINGER,3302,Nordin Amrabat,insufficient_match_history,1,80.9
WINGER,3302,Nordin Amrabat,low_minutes_reliability,1,80.9
WINGER,34952,Soufyan Ahannach,insufficient_match_history,1,80.98333
WINGER,34952,Soufyan Ahannach,low_minutes_reliability,1,80.98333
WINGER,358748,Abdellah Ait Brahim,insufficient_match_history,1,79.433334
WINGER,358748,Abdellah Ait Brahim,low_minutes_reliability,1,79.433334
WINGER,381935,Ismail Mihrab,insufficient_match_history,2,146.45
WINGER,381935,Ismail Mihrab,low_minutes_reliability,2,146.45
WINGER,409131,Abdellatif Benkassou,insufficient_match_history,1,72.13333
WINGER,409131,Abdellatif Benkassou,low_minutes_reliability,1,72.13333
WINGER,435547,Abdallah Ziani,insufficient_match_history,1,32.066666
WINGER,435547,Abdallah Ziani,low_minutes_reliability,1,32.066666
WINGER,449373,M. Oujeddou,insufficient_match_history,1,112.46667
WINGER,449373,M. Oujeddou,low_minutes_reliability,1,112.46667
WINGER,460266,Youness Dahmani,insufficient_match_history,1,96.36667
WINGER,460266,Youness Dahmani,low_minutes_reliability,1,96.36667
WINGER,477555,Adam Brika,insufficient_match_history,1,18.8
WINGER,477555,Adam Brika,low_minutes_reliability,1,18.8
WINGER,523312,Brahim Mansouri,insufficient_match_history,1,29.416666
WINGER,523312,Brahim Mansouri,low_minutes_reliability,1,29.416666
