role_family,metric,n,mean,median,std,mad,iqr,cv,p5,p10,p25,p50,p75,p90,p95,min,max,missing_pct,outlier_pct,skewness,kurtosis,heavy_tails,multimodal,mode_count,modality_method,shapiro_stat,shapiro_p
WINGER,np_xg_90,25,0.1487697444,0.12741931,0.07552585474961837,0.04790781000000001,0.10380368999999999,0.507669452913427,0.06341174399999999,0.069003932,0.08856239,0.12741931,0.19236608,0.26810208,0.275063448,0.05327166,0.30520162,0.0,0.0,0.6907153850122693,-0.700845224915883,False,True,2,histogram_peaks=2;bins=5,0.9128173536458615,0.03524332211950521
WINGER,obv_dribble_carry_90,25,0.10094461996,0.093498245,0.04722998320327813,0.027086755000000004,0.048375020000000005,0.46788014281487544,0.03167475,0.03849479000000001,0.07683531,0.093498245,0.12521033,0.15409957800000001,0.16543302599999996,0.025065586,0.2305304,0.0,4.0,0.649697371280837,1.0089092987410622,False,False,1,histogram_peaks=0;bins=5,0.961143976495389,0.43772807763964555
WINGER,obv_pass_90,25,0.04454619851200001,0.036222473,0.05982756307903653,0.031796686,0.06885003,1.343045312001651,-0.046079395599999996,-0.025552113199999997,0.01298321,0.036222473,0.08183324,0.11758235800000003,0.14831231799999992,-0.059557587,0.18814635,0.0,4.0,0.5145265051378662,0.3212184609069437,False,False,1,histogram_peaks=1;bins=5,0.9728361336858953,0.7173735684027983
CF,aerial_ratio,22,0.4031596651479257,0.42403846153846153,0.12430923428659034,0.08707956054208582,0.2140430666912742,0.30833747776077575,0.20476650280898875,0.23694971449622398,0.2875660300690776,0.42403846153846153,0.5016090967603518,0.5221212121212121,0.5314555125725339,0.1935483870967742,0.6585365853658537,0.0,0.0,-0.1716472083027714,-0.5634299536019238,False,False,1,histogram_peaks=1;bins=5,0.9407134176140526,0.20474688858896523
CF,aerial_wins_90,22,2.181091002727273,2.0668786,1.1275089194182075,0.7501909,1.4818531250000002,0.5169472149526779,0.821917382,0.93619061,1.45050635,2.0668786,2.932359475,3.3329190000000004,4.229384169999999,0.6638664,5.0781317,0.0,0.0,0.9516142363206783,0.7652618358836509,False,True,2,histogram_peaks=2;bins=5,0.9279346640959144,0.11112403392680953
CF,goals_90,22,0.30823404000000004,0.261288315,0.20316520882024589,0.13966732499999998,0.2607939075,0.6591264508626168,0.005293287000000005,0.107305622,0.165937125,0.261288315,0.4267310325,0.6476983060000003,0.6703934415,0.0,0.71114033,0.0,0.0,0.5387353337053513,-0.3203090458616056,False,False,1,histogram_peaks=1;bins=5,0.9477268093383707,0.28450896221534605
CF,np_shots_90,22,1.8206182700000004,1.8325417499999999,0.6554121285014161,0.34420655,0.5862840499999997,0.3599942609064425,0.9701593000000001,1.1271275699999999,1.452434975,1.8325417499999999,2.038719025,2.7799612400000013,2.874995135,0.39002684,3.2890244,0.0,9.090909090909092,0.20894888943145418,0.7499126835969445,False,True,2,histogram_peaks=2;bins=5,0.965159748497566,0.5999280328485606
CF,np_xg_90,22,0.2585718087727273,0.287141535,0.11894209421900087,0.08326911,0.1508954675,0.4599963730908712,0.09945574550000001,0.11445161200000001,0.1647860625,0.287141535,0.31568153,0.40291534200000007,0.4568722875,0.015730003,0.47152212,0.0,0.0,-0.1318665703494185,-0.41787035931318206,False,False,1,histogram_peaks=1;bins=5,0.965707719884929,0.6122952206934796
CF,op_passes_into_and_touches_inside_box_90,22,5.393018554545455,5.52347975,1.715184085409568,0.7467195999999996,1.2716047250000004,0.3180378609978898,3.2214741549999997,4.01016031,4.591843275,5.52347975,5.863448,6.875177480000001,7.480060229999999,1.0140698,10.125904,0.0,9.090909090909092,0.20840185206374082,3.3196207730830816,True,False,1,histogram_peaks=1;bins=5,0.9233414925080672,0.08917406134714112
CF,op_xgchain_90,22,0.46372699454545463,0.44323855,0.15545199047151362,0.10406054999999997,0.18444740250000002,0.3352230780178922,0.2254187805,0.30006249700000004,0.3779968725,0.44323855,0.562444275,0.6111428600000001,0.638380935,0.16556081,0.8633985,0.0,4.545454545454546,0.37883100241577183,0.9368518968219695,False,False,1,histogram_peaks=1;bins=5,0.975345994723855,0.8300616533447802
