statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
19597,Marcos Javier Acuña,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
51475,Abdelali Gluja M'Hamdi,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
5696,Santiago Arias Naranjo,FB,FB,1.0,130.51666,Right Back,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
524395,Amine Dghoughi,MID,MID,0.9764918669229176,24.666666,Right Wing; Center Attacking Midfield,495.8833,900.0,False,available_population_recomputed_or_reused_from_role_resolution
7717,Rayane Aabid,MID,MID,1.0,164.900004,Left Defensive Midfield; Left Center Midfield,1303.0834,900.0,True,available_population_recomputed_or_reused_from_role_resolution
3252,Oussama Haddadi,CB,CB,0.8980807536072257,199.566664,Left Center Back; Left Back,1504.85,900.0,True,available_population_recomputed_or_reused_from_role_resolution
138842,Marouane Hadhoudi,CB,CB,1.0,96.1,Right Center Back,299.0,900.0,False,available_population_recomputed_or_reused_from_role_resolution
406860,Abdelaziz El Hamzaoui,CF,CF,1.0,38.1,Center Forward,850.13336,750.0,True,available_population_recomputed_or_reused_from_role_resolution
442295,Reda Abardi,CF,CF,1.0,14.833333,Center Forward,1312.8335,750.0,True,available_population_recomputed_or_reused_from_role_resolution
407663,Mohamed Habbali,WINGER,WINGER,1.0,50.6,Right Wing,580.9667,750.0,False,available_population_recomputed_or_reused_from_role_resolution
6694,Gerónimo Rulli,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
409454,Ayoub Tine,FB,FB,1.0,112.46667,Right Back,756.55,900.0,False,available_population_recomputed_or_reused_from_role_resolution
523314,Mouhcine Boussanane,CF,CF,0.9826641591278183,29.5,Right Wing; Center Forward,262.78333,750.0,False,available_population_recomputed_or_reused_from_role_resolution
139570,Brahim El Bahraoui,WINGER,WINGER,1.0,88.7,Right Midfield,499.98334,750.0,False,available_population_recomputed_or_reused_from_role_resolution
5691,Johan Andrés Mojica Palacio,FB,FB,1.0,130.51666,Left Back,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
5507,Nicolás Alejandro Tagliafico,FB,FB,1.0,130.51666,Left Back; Left Wing Back,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
6909,Damián Emiliano Martínez,GK,GK,1.0,130.51666,Goalkeeper,,600.0,False,available_population_recomputed_or_reused_from_role_resolution
143166,Zakaria Fati,MID,MID,1.0,98.11667,Right Center Midfield; Left Center Midfield,1729.35,900.0,True,available_population_recomputed_or_reused_from_role_resolution
49000,Amine Oudrhiri Idrissi,MID,MID,1.0,99.25,Right Defensive Midfield,543.86664,900.0,False,available_population_recomputed_or_reused_from_role_resolution
143163,Hamza Semmoumy,FB,FB,1.0,195.68333,Right Back,680.7,900.0,False,available_population_recomputed_or_reused_from_role_resolution
139568,Youssef Zghoudi,WINGER,WINGER,1.0,131.66666999999998,Right Midfield; Left Midfield; Left Wing,882.10004,750.0,True,available_population_recomputed_or_reused_from_role_resolution
477682,Ayoub Benaadi,MID,MID,1.0,96.683334,Center Attacking Midfield,1579.8833,900.0,True,available_population_recomputed_or_reused_from_role_resolution
138904,Mehdi El Jourbaoui,UNKNOWN,UNKNOWN,0.0,0.0,,207.1,,False,available_population_recomputed_or_reused_from_role_resolution
