role,player_id,player_name,score,confidence_index,confidence_level,confidence_interval_low,confidence_interval_high,weight_stability,bootstrap_stability,sample_quality,minutes_reliability,population_size,data_quality,overall_reliability,experiment_008_status
MID,523308,Adil Khalloufi,74.86883938929184,83.7703887205584,high,67.20781141946823,82.86967247955504,90,84.3381389399132,85,100.0,34,85,Adequate,not_recomputed_full_population_unavailable
MID,523973,Hamza Rafa,30.204742806725,71.29032451584234,medium,17.937262217874764,43.416236878737614,90,74.52102533913715,80,58.52962777777778,34,80,Adequate,not_recomputed_full_population_unavailable
MID,523996,Fred Duval Ngoma,49.40951592103031,78.08819410290448,medium,34.6149914415099,63.27095458378253,90,71.34403685772736,80,98.07870555555556,34,80,Adequate,not_recomputed_full_population_unavailable
MID,7183,Moctar Sidi El Hacen El Ide,38.71298410052831,73.88949379792267,medium,18.373706843651306,57.67145498428468,90,60.70225185936663,80,95.70832777777778,34,80,Adequate,not_recomputed_full_population_unavailable
MID,7717,Rayane Aabid,68.94794077723483,71.37868448688947,medium,52.93093723540236,86.07968023295595,90,66.8512570024464,80,72.39352222222222,34,80,Adequate,not_recomputed_full_population_unavailable
WINGER,132614,Walid Nassi Ouled Bentle,59.37594465247182,63.15034361014767,medium,38.55320514756456,78.13933982209484,90,60.41386532546972,75,57.30740555555556,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,134249,Adam Ennaffati,56.9622718337313,62.54957248300145,medium,33.327696116175446,80.02185623334572,90,53.30583988282973,75,66.74259444444445,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,138895,Abdelfattah Hadraf,64.73935922674305,64.49229521813919,medium,44.69795547042562,82.62401570942454,90,62.07393976100108,75,61.11203333333333,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,139001,Youssef Anouar,62.96902682472179,62.929970846955726,medium,43.33971166230298,79.57664788246105,90,63.763063779841936,75,50.34444444444445,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,139008,Amine Souane,47.08393519436829,65.098118076661,medium,23.663868568246823,69.07223492575488,90,54.59163364249194,75,77.23518333333334,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,139017,Salah-eddine Benyachou,48.961266142614406,64.93764680193618,medium,34.83176879635573,70.10920228799819,90,64.72256650835754,75,58.70369444444445,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,139568,Youssef Zghoudi,29.628530459458016,64.8794812411488,medium,15.022369819617778,44.92419824684323,90,70.09817157277455,75,49.00555777777778,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,140874,Reda Slim,71.75782020202398,67.7115994633688,medium,52.2799623964635,87.94082003004453,90,64.33914236641897,75,73.24445,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,143490,Ahmed Hammoudan,49.2084720352847,70.43364808701011,medium,35.32297036129852,64.2393462130472,90,71.08362414825132,75,75.05185,25,75,Adequate,not_recomputed_full_population_unavailable
WINGER,16208,Arthur Kevin Yamga,29.197541447029952,58.550104513138336,low,8.965819400446199,57.78332292357456,90,51.18249647687164,75,50.46110555555556,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,179311,Imad Riahi,72.77317529502041,63.1227481701732,medium,53.228413056337,88.98228390857211,90,64.24612914776489,75,50.46296666666667,25,75,Research Only,not_recomputed_full_population_unavailable
WINGER,199611,Youssef Mehri,30.7204521559394,69.18376814199604,medium,10.973370969679491,55.54601968019856,90,55.42735128948093,75,96.20092777777778,25,75,Adequate,not_recomputed_full_population_unavailable
