score_a,score_b,pearson,spearman,distance_correlation
FB_FB_D4,WINGER_WINGER_D2,,,
FB_FB_D4,WINGER_WINGER_D3,,,
FB_FB_D4,WINGER_WINGER_D4,,,
FB_FB_D4,WINGER_WINGER_D5,,,
FB_FB_D4,WINGER_WINGER_D6,,,
FB_FB_D5,FB_FB_D6,-0.4764046696650016,-0.4073159172868344,0.4963448745653466
FB_FB_D5,FB_FB_D7,0.489739733270416,0.44466403162055335,0.5294873899988122
FB_FB_D5,GK_GK_D1,,,
FB_FB_D5,GK_GK_D2,,,
FB_FB_D5,GK_GK_D3,,,
FB_FB_D5,MID_MID_D1,,,
FB_FB_D5,MID_MID_D2,,,
FB_FB_D5,MID_MID_D4,,,
FB_FB_D5,MID_MID_D5,,,
FB_FB_D5,MID_MID_D6,,,
FB_FB_D5,MID_MID_D7,,,
FB_FB_D5,WINGER_WINGER_D1,,,
FB_FB_D5,WINGER_WINGER_D2,,,
FB_FB_D5,WINGER_WINGER_D3,,,
FB_FB_D5,WINGER_WINGER_D4,,,
FB_FB_D5,WINGER_WINGER_D5,,,
FB_FB_D5,WINGER_WINGER_D6,,,
FB_FB_D6,FB_FB_D7,-0.09175388684615188,-0.08749383174729332,0.269634563837761
FB_FB_D6,GK_GK_D1,,,
FB_FB_D6,GK_GK_D2,,,
FB_FB_D6,GK_GK_D3,,,
FB_FB_D6,MID_MID_D1,,,
FB_FB_D6,MID_MID_D2,,,
FB_FB_D6,MID_MID_D4,,,
FB_FB_D6,MID_MID_D5,,,
FB_FB_D6,MID_MID_D6,,,
FB_FB_D6,MID_MID_D7,,,
FB_FB_D6,WINGER_WINGER_D1,,,
FB_FB_D6,WINGER_WINGER_D2,,,
FB_FB_D6,WINGER_WINGER_D3,,,
FB_FB_D6,WINGER_WINGER_D4,,,
FB_FB_D6,WINGER_WINGER_D5,,,
FB_FB_D6,WINGER_WINGER_D6,,,
FB_FB_D7,GK_GK_D1,,,
FB_FB_D7,GK_GK_D2,,,
FB_FB_D7,GK_GK_D3,,,
FB_FB_D7,MID_MID_D1,,,
FB_FB_D7,MID_MID_D2,,,
FB_FB_D7,MID_MID_D4,,,
FB_FB_D7,MID_MID_D5,,,
FB_FB_D7,MID_MID_D6,,,
FB_FB_D7,MID_MID_D7,,,
FB_FB_D7,WINGER_WINGER_D1,,,
FB_FB_D7,WINGER_WINGER_D2,,,
FB_FB_D7,WINGER_WINGER_D3,,,
FB_FB_D7,WINGER_WINGER_D4,,,
FB_FB_D7,WINGER_WINGER_D5,,,
FB_FB_D7,WINGER_WINGER_D6,,,
GK_GK_D1,GK_GK_D2,0.6182273577716159,0.5664335664335665,0.622166917968135
GK_GK_D1,GK_GK_D3,0.1436755945534048,0.22377622377622378,0.441969319242773
GK_GK_D1,MID_MID_D1,,,
GK_GK_D1,MID_MID_D2,,,
GK_GK_D1,MID_MID_D4,,,
GK_GK_D1,MID_MID_D5,,,
GK_GK_D1,MID_MID_D6,,,
GK_GK_D1,MID_MID_D7,,,
GK_GK_D1,WINGER_WINGER_D1,,,
GK_GK_D1,WINGER_WINGER_D2,,,
GK_GK_D1,WINGER_WINGER_D3,,,
GK_GK_D1,WINGER_WINGER_D4,,,
GK_GK_D1,WINGER_WINGER_D5,,,
GK_GK_D1,WINGER_WINGER_D6,,,
GK_GK_D2,GK_GK_D3,0.16083916083916108,0.16083916083916083,0.4334316376006186
GK_GK_D2,MID_MID_D1,,,
GK_GK_D2,MID_MID_D2,,,
GK_GK_D2,MID_MID_D4,,,
GK_GK_D2,MID_MID_D5,,,
GK_GK_D2,MID_MID_D6,,,
GK_GK_D2,MID_MID_D7,,,
GK_GK_D2,WINGER_WINGER_D1,,,
GK_GK_D2,WINGER_WINGER_D2,,,
GK_GK_D2,WINGER_WINGER_D3,,,
GK_GK_D2,WINGER_WINGER_D4,,,
GK_GK_D2,WINGER_WINGER_D5,,,
GK_GK_D2,WINGER_WINGER_D6,,,
GK_GK_D3,MID_MID_D1,,,
GK_GK_D3,MID_MID_D2,,,
GK_GK_D3,MID_MID_D4,,,
GK_GK_D3,MID_MID_D5,,,
GK_GK_D3,MID_MID_D6,,,
GK_GK_D3,MID_MID_D7,,,
GK_GK_D3,WINGER_WINGER_D1,,,
GK_GK_D3,WINGER_WINGER_D2,,,
GK_GK_D3,WINGER_WINGER_D3,,,
GK_GK_D3,WINGER_WINGER_D4,,,
