role,player_id,player_name,score,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,score_variance,bootstrap_samples,experiment_008_status
MID,523996,Fred Duval Ngoma,49.40951592103031,49.63445935765536,7.791555261907363,34.6149914415099,63.27095458378253,60.70833339935631,300,not_recomputed_full_population_unavailable
MID,7183,Moctar Sidi El Hacen El Ide,38.71298410052831,38.84150629885725,10.439749776671846,18.373706843651306,57.67145498428468,108.98837539951984,300,not_recomputed_full_population_unavailable
MID,7717,Rayane Aabid,68.94794077723483,69.09783711568535,8.403588955812506,52.93093723540236,86.07968023295595,70.62030733825391,300,not_recomputed_full_population_unavailable
WINGER,132614,Walid Nassi Ouled Bentle,59.37594465247182,58.001629166636896,10.558756496237727,38.55320514756456,78.13933982209484,111.4873387468424,300,not_recomputed_full_population_unavailable
WINGER,134249,Adam Ennaffati,56.9622718337313,56.95145126233293,11.705645508530862,33.327696116175446,80.02185623334572,137.02213677138874,300,not_recomputed_full_population_unavailable
WINGER,138895,Abdelfattah Hadraf,64.73935922674305,63.756364982855374,10.004253458592077,44.69795547042562,82.62401570942454,100.08508726375152,300,not_recomputed_full_population_unavailable
WINGER,139001,Youssef Anouar,62.96902682472179,62.81810710805489,8.983976026499247,43.33971166230298,79.57664788246105,80.71182524471321,300,not_recomputed_full_population_unavailable
WINGER,139008,Amine Souane,47.08393519436829,47.69538697558238,11.77292365537593,23.663868568246823,69.07223492575488,138.60173139531017,300,not_recomputed_full_population_unavailable
WINGER,139017,Salah-eddine Benyachou,48.961266142614406,49.38047756131194,9.59411563430392,34.83176879635573,70.10920228799819,92.04705480439492,300,not_recomputed_full_population_unavailable
WINGER,139568,Youssef Zghoudi,29.628530459458016,30.24295035889059,7.578452294300259,15.022369819617778,44.92419824684323,57.43293917698487,300,not_recomputed_full_population_unavailable
WINGER,140874,Reda Slim,71.75782020202398,71.28109869693785,9.36900689878025,52.2799623964635,87.94082003004453,87.77829026939193,300,not_recomputed_full_population_unavailable
WINGER,143490,Ahmed Hammoudan,49.2084720352847,48.74857810382287,7.628765613618098,35.32297036129852,64.2393462130472,58.19806478752192,300,not_recomputed_full_population_unavailable
WINGER,16208,Arthur Kevin Yamga,29.197541447029952,28.495482378382288,12.770655727815951,8.965819400446199,57.78332292357456,163.08964771839842,300,not_recomputed_full_population_unavailable
WINGER,179311,Imad Riahi,72.77317529502041,72.57095712769897,9.454938368693456,53.228413056337,88.98228390857211,89.39585955579166,300,not_recomputed_full_population_unavailable
WINGER,199611,Youssef Mehri,30.7204521559394,31.75968232985556,12.26634961007994,10.973370969679491,55.54601968019856,150.46333275670824,300,not_recomputed_full_population_unavailable
WINGER,275341,Yazid Faffa,30.833131349410536,30.93949060694813,11.880307751502356,9.952829225090984,55.56025832820193,141.14171227040697,300,not_recomputed_full_population_unavailable
WINGER,312935,Amine Azri,59.57944401089387,60.31143383444995,12.909138321164368,35.733298389626526,85.78816874965158,166.64585219495436,300,not_recomputed_full_population_unavailable
WINGER,3302,Nordin Amrabat,62.59629076286974,61.65129111543706,12.014913651756414,35.887952350091965,80.3303627392038,144.35815005916265,300,not_recomputed_full_population_unavailable
WINGER,34952,Soufyan Ahannach,56.50789076916887,56.29381978224208,5.887855353931008,46.47859227784837,68.95406618588942,34.66684066881403,300,not_recomputed_full_population_unavailable
WINGER,358748,Abdellah Ait Brahim,29.68359706457852,30.009239949771526,6.723872578205931,17.548560290957035,43.84699603069593,45.21046244794968,300,not_recomputed_full_population_unavailable
WINGER,381935,Ismail Mihrab,55.274155640311264,55.96139886776667,11.032903952734468,32.717261303372574,75.18433416257966,121.72496963026386,300,not_recomputed_full_population_unavailable
WINGER,409131,Abdellatif Benkassou,32.41131937107926,32.99076688066595,9.622488603155537,16.002570799187044,52.94311070895693,92.5922869178582,300,not_recomputed_full_population_unavailable
WINGER,435547,Abdallah Ziani,43.40772667675903,43.89553506918966,13.006490741629085,21.836750770903613,71.68322464192053,169.16880141208307,300,not_recomputed_full_population_unavailable
WINGER,449373,Marouane Oujeddou,48.74128448426231,48.747145853466485,7.514270601712089,33.526485479705,62.97670476385072,56.46426267575456,300,not_recomputed_full_population_unavailable
WINGER,460266,Youness Dahmani,58.77359688234873,58.57568113607056,7.943126489115543,43.50604467862891,73.19723672694587,63.09325842208901,300,not_recomputed_full_population_unavailable
WINGER,477555,Adam Brika,45.88817185331104,45.6145133819058,5.091027279943773,36.86633266283361,56.55327724808701,25.918558765131685,300,not_recomputed_full_population_unavailable
WINGER,523312,Brahim Mansouri,52.985192556984906,51.88254122629584,10.19956432199693,33.846468403826684,73.48935925523521,104.03111235855268,300,not_recomputed_full_population_unavailable
WINGER,7550,Mounir Chouiar,65.90224149512333,65.13737485530754,6.981663204078256,50.90752517254866,77.44562264749966,48.74362109518025,300,not_recomputed_full_population_unavailable
