role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score
MID,key_passes_90,winsorized_z_score,0.7720538970373021,-0.3611298720470124,0.0,0.9526188330608083
MID,obv_dribble_carry_90,z_score,1.1013565541276067,1.6756146014458282,2.941176470588235,2.0862226783799325
MID,obv_dribble_carry_90,robust_z_score,1.101356554127606,1.6756146014458273,2.941176470588235,2.0862226783799316
MID,obv_dribble_carry_90,percentile_rank,5.646341603368185e-16,-1.2000000000000015,0.0,0.6000000000000013
MID,obv_dribble_carry_90,min_max,1.101356554127606,1.6756146014458264,2.941176470588235,2.086222678379931
MID,obv_dribble_carry_90,log_transform,1.0129556562750603,1.3925431576331069,2.941176470588235,1.8562860586210255
MID,obv_dribble_carry_90,quantile_transform,6.13561116737126e-11,5.984499398978965,5.88235294117647,3.286367346609662
MID,obv_dribble_carry_90,winsorized_z_score,0.508138051447393,-0.7460139692009551,0.0,0.8811450360478705
MID,obv_pass_90,z_score,0.9091520040026311,0.5215866151621977,2.941176470588235,1.3170041351131416
MID,obv_pass_90,robust_z_score,0.9091520040026306,0.5215866151621951,2.941176470588235,1.3170041351131399
MID,obv_pass_90,percentile_rank,5.428907434832971e-16,-1.2000000000000006,0.0,0.6000000000000009
MID,obv_pass_90,min_max,0.9091520040026301,0.5215866151621951,2.941176470588235,1.3170041351131392
MID,obv_pass_90,log_transform,0.8220317658852038,0.324724805156531,2.941176470588235,1.131452991992881
MID,obv_pass_90,quantile_transform,6.135047301491352e-11,5.98449939897888,5.88235294117647,3.2863673466096137
MID,obv_pass_90,winsorized_z_score,0.6808190083528903,-0.6971583996297257,0.0,1.0293982081677533
MID,op_f3_passes_90,z_score,0.6676610689936423,-0.5302095279660608,0.0,0.9327658329766727
MID,op_f3_passes_90,robust_z_score,0.6676610689936421,-0.5302095279660608,0.0,0.9327658329766725
MID,op_f3_passes_90,percentile_rank,-6.331293968146858e-16,-1.2000000000000006,0.0,0.600000000000001
