provider_dataset,path,available,row_count
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4049873/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057959/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051486/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057964/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4049886/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057183/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4059477/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057181/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4034578/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057975/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4051535/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057465/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057962/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057961/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031425/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031431/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4033440/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4020497/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4047785/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4031435/lineups.json,True,2
lineups,/home/platform/DataPlatform/tmp/botola_identity/statsbomb_raw/lineups/extracted_date=2026-06-02/run_id=botola_identity_minimal_20260602T203944Z/match_id=4057179/lineups.json,True,2
