role,player_id,season_id,split_name,matches,minutes,split_score,split_score_std,date_method
WINGER,134249,318,first_half,1,102.96667,52.899252905000004,,match_date
WINGER,134249,318,second_half,0,0.0,,,match_date
WINGER,138895,318,full_season,1,10.55,26.532377327747124,,match_date
WINGER,138895,318,first_half,1,10.55,26.532377327747124,,match_date
WINGER,138895,318,second_half,0,0.0,,,match_date
WINGER,139001,318,full_season,1,88.0,70.44285503118236,,match_date
WINGER,139001,318,first_half,1,88.0,70.44285503118236,,match_date
WINGER,139001,318,second_half,0,0.0,,,match_date
WINGER,139008,318,full_season,1,78.51667,47.002414394888206,,match_date
WINGER,139008,318,first_half,1,78.51667,47.002414394888206,,match_date
WINGER,139008,318,second_half,0,0.0,,,match_date
WINGER,139017,318,full_season,1,66.36667,46.91605732033602,,match_date
WINGER,139017,318,first_half,1,66.36667,46.91605732033602,,match_date
WINGER,139017,318,second_half,0,0.0,,,match_date
WINGER,139568,318,full_season,2,131.66667,,,match_date
WINGER,139568,318,first_half,1,67.36667,,,match_date
WINGER,139568,318,second_half,1,64.3,,,match_date
WINGER,140874,318,full_season,1,24.183332,38.533380745089666,,match_date
WINGER,140874,318,first_half,1,24.183332,38.533380745089666,,match_date
WINGER,140874,318,second_half,0,0.0,,,match_date
WINGER,143490,318,full_season,1,87.566666,,,match_date
WINGER,143490,318,first_half,1,87.566666,,,match_date
WINGER,143490,318,second_half,0,0.0,,,match_date
WINGER,16208,318,full_season,1,112.46667,32.36938929062456,,match_date
WINGER,16208,318,first_half,1,112.46667,32.36938929062456,,match_date
WINGER,16208,318,second_half,0,0.0,,,match_date
WINGER,179311,318,full_season,1,13.766666,,,match_date
WINGER,179311,318,first_half,1,13.766666,,,match_date
WINGER,179311,318,second_half,0,0.0,,,match_date
WINGER,199611,318,full_season,2,157.61667,71.53098917292245,23.408045484085008,match_date
WINGER,199611,318,first_half,1,68.0,88.0829768690421,,match_date
WINGER,199611,318,second_half,1,89.61667,54.9790014768028,,match_date
WINGER,275341,318,full_season,1,76.63333,47.678024571850706,,match_date
WINGER,275341,318,first_half,1,76.63333,47.678024571850706,,match_date
WINGER,275341,318,second_half,0,0.0,,,match_date
WINGER,312935,318,full_season,2,63.333332,74.7997582367824,,match_date
WINGER,312935,318,first_half,1,28.683332,74.7997582367824,,match_date
WINGER,312935,318,second_half,1,34.65,,,match_date
WINGER,3302,318,full_season,1,80.9,68.87219945332407,,match_date
WINGER,3302,318,first_half,1,80.9,68.87219945332407,,match_date
WINGER,3302,318,second_half,0,0.0,,,match_date
WINGER,34952,318,full_season,1,80.98333,36.75599059700859,,match_date
WINGER,34952,318,first_half,1,80.98333,36.75599059700859,,match_date
