role,player_id,player_name,review_category,score,percentile,reason
MID,523973,Hamza Rafa,lowest_percentile,30.204742806724997,5.88235294117647,football_expert_review_required_not_quality_judgement
MID,443951,Youness Akharraz,lowest_percentile,31.30495709922064,8.823529411764707,football_expert_review_required_not_quality_judgement
MID,407207,Ennaama El Bellali,lowest_percentile,33.55607567203257,11.76470588235294,football_expert_review_required_not_quality_judgement
MID,194912,Faouzi Abd El Mouttalib,lowest_percentile,34.29059098956171,14.705882352941178,football_expert_review_required_not_quality_judgement
WINGER,179311,Imad Riahi,top20,72.77317529502041,100.0,football_expert_review_required_not_quality_judgement
WINGER,140874,Reda Slim,top20,71.75782020202398,96.0,football_expert_review_required_not_quality_judgement
WINGER,7550,Mounir Chouiar,top20,65.90224149512333,92.0,football_expert_review_required_not_quality_judgement
WINGER,138895,Abdelfattah Hadraf,top20,64.73935922674305,88.0,football_expert_review_required_not_quality_judgement
WINGER,139001,Youssef Anouar,top20,62.96902682472179,84.0,football_expert_review_required_not_quality_judgement
WINGER,3302,Nordin Amrabat,top20,62.59629076286974,80.0,football_expert_review_required_not_quality_judgement
WINGER,312935,Amine Azri,top20,59.57944401089387,76.0,football_expert_review_required_not_quality_judgement
WINGER,132614,Walid Nassi Ouled Bentle,top20,59.37594465247182,72.0,football_expert_review_required_not_quality_judgement
WINGER,460266,Youness Dahmani,top20,58.77359688234873,68.0,football_expert_review_required_not_quality_judgement
WINGER,134249,Adam Ennaffati,top20,56.9622718337313,64.0,football_expert_review_required_not_quality_judgement
WINGER,34952,Soufyan Ahannach,top20,56.50789076916887,60.0,football_expert_review_required_not_quality_judgement
WINGER,381935,Ismail Mihrab,top20,55.274155640311264,56.00000000000001,football_expert_review_required_not_quality_judgement
WINGER,523312,Brahim Mansouri,top20,52.985192556984906,52.0,football_expert_review_required_not_quality_judgement
WINGER,143490,Ahmed Hammoudan,top20,49.2084720352847,48.0,football_expert_review_required_not_quality_judgement
WINGER,139017,Salah-eddine Benyachou,top20,48.961266142614406,44.0,football_expert_review_required_not_quality_judgement
WINGER,449373,Marouane Oujeddou,top20,48.74128448426231,40.0,football_expert_review_required_not_quality_judgement
WINGER,139008,Amine Souane,top20,47.08393519436829,36.0,football_expert_review_required_not_quality_judgement
WINGER,477555,Adam Brika,top20,45.88817185331104,32.0,football_expert_review_required_not_quality_judgement
WINGER,435547,Abdallah Ziani,top20,43.40772667675903,28.000000000000004,football_expert_review_required_not_quality_judgement
WINGER,409131,Abdellatif Benkassou,top20,32.41131937107926,24.0,football_expert_review_required_not_quality_judgement
WINGER,16208,Arthur Kevin Yamga,bottom20,29.197541447029952,4.0,football_expert_review_required_not_quality_judgement
WINGER,139568,Youssef Zghoudi,bottom20,29.628530459458016,8.0,football_expert_review_required_not_quality_judgement
WINGER,358748,Abdellah Ait Brahim,bottom20,29.68359706457852,12.0,football_expert_review_required_not_quality_judgement
WINGER,199611,Youssef Mehri,bottom20,30.7204521559394,16.0,football_expert_review_required_not_quality_judgement
WINGER,275341,Yazid Faffa,bottom20,30.833131349410536,20.0,football_expert_review_required_not_quality_judgement
WINGER,409131,Abdellatif Benkassou,bottom20,32.41131937107926,24.0,football_expert_review_required_not_quality_judgement
WINGER,435547,Abdallah Ziani,bottom20,43.40772667675903,28.000000000000004,football_expert_review_required_not_quality_judgement
WINGER,477555,Adam Brika,bottom20,45.88817185331104,32.0,football_expert_review_required_not_quality_judgement
WINGER,139008,Amine Souane,bottom20,47.08393519436829,36.0,football_expert_review_required_not_quality_judgement
WINGER,449373,Marouane Oujeddou,bottom20,48.74128448426231,40.0,football_expert_review_required_not_quality_judgement
WINGER,139017,Salah-eddine Benyachou,bottom20,48.961266142614406,44.0,football_expert_review_required_not_quality_judgement
WINGER,143490,Ahmed Hammoudan,bottom20,49.2084720352847,48.0,football_expert_review_required_not_quality_judgement
WINGER,523312,Brahim Mansouri,bottom20,52.985192556984906,52.0,football_expert_review_required_not_quality_judgement
WINGER,381935,Ismail Mihrab,bottom20,55.274155640311264,56.00000000000001,football_expert_review_required_not_quality_judgement
WINGER,34952,Soufyan Ahannach,bottom20,56.50789076916887,60.0,football_expert_review_required_not_quality_judgement
