statsbomb_player_id,player_name,role_family,position_text,observations
138973,Saad Ait Khorsa,UNKNOWN,,1
138982,Jalal Tachtach,MID,Center Defensive Midfield,1
138983,Zine Eddine Derrag,MID,Right Defensive Midfield,1
138989,Mohamed Ferni,GK,Goalkeeper,1
138990,Yassine Marsile,UNKNOWN,,1
138998,Abdellah Khafifi,CB,Left Center Back,1
138999,Marouane Lemzaouri,FB,Right Back,1
139001,Youssef Anouar,WINGER,Left Wing,1
139004,Zakaria Bahrou,CF,Center Forward,1
139008,Amine Souane,WINGER,Right Wing,1
139011,Ahmed Reda Tagnaouti,GK,Goalkeeper,1
139017,Salah-eddine Benyachou,WINGER,Left Wing,1
139018,Zouheir El-Moutaraji,UNKNOWN,,1
139023,Amine Aboulfath,CB,Right Center Back,1
139541,Ismael Benktib,UNKNOWN,,1
139545,Mohammad El Fakih,MID,Right Center Midfield,1
139549,Hamza El Janati,FB,Left Back,1
139554,Abdoulaye Diarra,MID,Left Center Midfield,1
139555,Aymane Majid,GK,Goalkeeper,1
139556,Bilal El Ouadghiri,CB,Right Center Back,2
139559,Hamza Hamiani Akbi,UNKNOWN,,1
139560,Hamza El Moussaoui,FB,Left Back,2
139562,Abdelkarim Baadi,FB,Right Back,1
139563,Ayoub Khairi,FB,Right Back,1
139565,Larbi Naji,MID,Right Defensive Midfield,1
139566,Youssef Elfahli,CF,Right Center Forward,1
139568,Youssef Zghoudi,WINGER,Left Midfield,1
139570,Brahim El Bahraoui,WINGER,Right Midfield,1
139571,Hamza Regragui,UNKNOWN,,1
139572,Amine El Ouaad,GK,Goalkeeper,2
139574,Mohamed Bentarcha,UNKNOWN,,1
140867,Ismail Khafi,CF,Center Forward,1
140871,Khalid Ait Ouarkhane,WINGER,Left Midfield,1
140872,Mohamed Rabie Hrimat,MID,Left Defensive Midfield,1
140874,Reda Slim,WINGER,Right Wing,1
140876,Mohamed Moufid,FB,Right Back,1
140881,Yassine Kordani,CB,Left Center Back,2
140886,Mustapha Sahd,CF,Center Forward,1
140887,Haytham El Bahja,CF,Left Center Forward,2
141254,Hamza Afsal,MID,Center Attacking Midfield,1
141318,Khalid Kbiri Alaoui,UNKNOWN,,1
141741,Oussama Al Aiz,FB,Left Back,1
141808,Charki El Bahri,CF,Center Forward,2
142086,Oussama Hafari,UNKNOWN,,2
142789,Oussama Soukhane,FB,Left Back,1
143160,Anouar Tarkhatt,CB,Right Center Back,1
143162,Mehdi Maftah,GK,Goalkeeper,2
143163,Hamza Semmoumy,FB,Right Back,2
143166,Zakaria Fati,MID,Right Center Midfield,1
143452,Mohamed Ayman Sadil,UNKNOWN,,2
143490,Ahmed Hammoudan,WINGER,Left Midfield,1
143504,Oussama Lamlaoui,CF,Center Forward,2
143505,Mohamed Morabit,MID,Center Attacking Midfield,1
144331,Oussama Raoui,FB,Right Back,1
144434,Ismail Moutaraji,MID,Center Attacking Midfield,1
144435,Amine Farhane,UNKNOWN,,1
144436,Anas Serrhat,MID,Right Defensive Midfield,1
148397,Valentin Carboni,UNKNOWN,,1
149135,Moses Orkuma,MID,Center Defensive Midfield,1
151743,Mohamed Al Makahasi,MID,Right Center Midfield,1
152015,Zakaria Kiani,FB,Right Back,1
154668,Mamadou Lamine Camara,MID,Center Defensive Midfield,1
155347,Ayoub Mouloua,CF,Center Forward,1
155705,Soufiane Benjdida,CF,Center Forward,1
