score_a,score_b,mutual_information
GK_GK_D2,WINGER_WINGER_D6,
GK_GK_D3,MID_MID_D1,
GK_GK_D3,MID_MID_D2,
GK_GK_D3,MID_MID_D4,
GK_GK_D3,MID_MID_D5,
GK_GK_D3,MID_MID_D6,
GK_GK_D3,MID_MID_D7,
GK_GK_D3,WINGER_WINGER_D1,
GK_GK_D3,WINGER_WINGER_D2,
GK_GK_D3,WINGER_WINGER_D3,
GK_GK_D3,WINGER_WINGER_D4,
GK_GK_D3,WINGER_WINGER_D5,
GK_GK_D3,WINGER_WINGER_D6,
MID_MID_D1,MID_MID_D2,0.0942176309210665
MID_MID_D1,MID_MID_D4,0.20000447911708408
MID_MID_D1,MID_MID_D5,0.20153253823597383
MID_MID_D1,MID_MID_D6,0.07484249715489355
MID_MID_D1,MID_MID_D7,0.0
MID_MID_D1,WINGER_WINGER_D1,
MID_MID_D1,WINGER_WINGER_D2,
MID_MID_D1,WINGER_WINGER_D3,
MID_MID_D1,WINGER_WINGER_D4,
MID_MID_D1,WINGER_WINGER_D5,
MID_MID_D1,WINGER_WINGER_D6,
MID_MID_D2,MID_MID_D4,0.11403671274274352
MID_MID_D2,MID_MID_D5,0.10732251671193827
MID_MID_D2,MID_MID_D6,0.0
MID_MID_D2,MID_MID_D7,0.0
MID_MID_D2,WINGER_WINGER_D1,
MID_MID_D2,WINGER_WINGER_D2,
MID_MID_D2,WINGER_WINGER_D3,
MID_MID_D2,WINGER_WINGER_D4,
MID_MID_D2,WINGER_WINGER_D5,
MID_MID_D2,WINGER_WINGER_D6,
MID_MID_D4,MID_MID_D5,0.0
MID_MID_D4,MID_MID_D6,0.0
MID_MID_D4,MID_MID_D7,0.016345353199272328
MID_MID_D4,WINGER_WINGER_D1,
MID_MID_D4,WINGER_WINGER_D2,
MID_MID_D4,WINGER_WINGER_D3,
MID_MID_D4,WINGER_WINGER_D4,
MID_MID_D4,WINGER_WINGER_D5,
MID_MID_D4,WINGER_WINGER_D6,
MID_MID_D5,MID_MID_D6,0.0
MID_MID_D5,MID_MID_D7,0.023121831775958945
MID_MID_D5,WINGER_WINGER_D1,
MID_MID_D5,WINGER_WINGER_D2,
MID_MID_D5,WINGER_WINGER_D3,
MID_MID_D5,WINGER_WINGER_D4,
MID_MID_D5,WINGER_WINGER_D5,
MID_MID_D5,WINGER_WINGER_D6,
MID_MID_D6,MID_MID_D7,0.07761049503147888
MID_MID_D6,WINGER_WINGER_D1,
MID_MID_D6,WINGER_WINGER_D2,
MID_MID_D6,WINGER_WINGER_D3,
MID_MID_D6,WINGER_WINGER_D4,
MID_MID_D6,WINGER_WINGER_D5,
MID_MID_D6,WINGER_WINGER_D6,
MID_MID_D7,WINGER_WINGER_D1,
MID_MID_D7,WINGER_WINGER_D2,
MID_MID_D7,WINGER_WINGER_D3,
MID_MID_D7,WINGER_WINGER_D4,
MID_MID_D7,WINGER_WINGER_D5,
MID_MID_D7,WINGER_WINGER_D6,
WINGER_WINGER_D1,WINGER_WINGER_D2,0.1309930872884162
WINGER_WINGER_D1,WINGER_WINGER_D3,0.19633008774925576
WINGER_WINGER_D1,WINGER_WINGER_D4,0.0
WINGER_WINGER_D1,WINGER_WINGER_D5,0.0
WINGER_WINGER_D1,WINGER_WINGER_D6,0.0
WINGER_WINGER_D2,WINGER_WINGER_D3,0.05872441151974073
WINGER_WINGER_D2,WINGER_WINGER_D4,0.09799453028985927
WINGER_WINGER_D2,WINGER_WINGER_D5,0.03836943316476238
WINGER_WINGER_D2,WINGER_WINGER_D6,0.07238630518163403
WINGER_WINGER_D3,WINGER_WINGER_D4,0.0
WINGER_WINGER_D3,WINGER_WINGER_D5,0.02938369667902574
WINGER_WINGER_D3,WINGER_WINGER_D6,0.0
WINGER_WINGER_D4,WINGER_WINGER_D5,0.0
WINGER_WINGER_D4,WINGER_WINGER_D6,0.0913992921946214
WINGER_WINGER_D5,WINGER_WINGER_D6,0.058664804460133446
